unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1360249366,670750300,1,46,46,1360249338353,1360249338353,670722653,670722653,0
1360249366,670750348,1,46,46,1360249338303,1360249338303,670722651,670722651,0
1360249437,3604100208,6,4757,792.8333333,1360249411926,1360249411990,3604075134,3604075198,64
1360249451,670834608,4,208,52,1360249443683,1360249449251,670827291,670832859,5568
1360249469,3604132204,1,52,52,1360249442076,1360249442076,3604105280,3604105280,0
1360249475,670858584,2,104,52,1360249455419,1360249467899,670839003,670851483,12480
1360249519,670902900,1,52,52,1360249492542,1360249492542,670876442,670876442,0
1360249567,670951064,1,52,52,1360249542296,1360249542296,670926360,670926360,0
1360249667,671051244,1,52,52,1360249641955,1360249641955,671026199,671026199,0
1360250332,671715664,3,156,52,1360250330140,1360250331676,671713804,671715340,1536
1360250340,671723612,2,104,52,1360250333840,1360250338064,671717452,671721676,4224
1360250364,671747600,2,104,52,1360250346524,1360250363420,671730124,671747020,16896
1360250422,671805568,1,52,52,1360250397243,1360250397243,671780811,671780811,0
1360250490,671873584,1,52,52,1360250464812,1360250464812,671848396,671848396,0
1360250847,672230584,1,52,52,1360250820964,1360250820964,672204548,672204548,0
1360251295,672679276,1,46,46,1360251268330,1360251268330,672652606,672652606,0
1360252742,674125644,5,456,91.2,1360252739979,1360252740107,674123623,674123751,128
1360252765,3607428696,3,313,104.3333333,1360252739268,1360252739332,3607402964,3607403028,64
1360252765,3607428704,18,22425,1245.833333,1360252740029,1360252740093,3607403733,3607403797,64
1360252767,674150700,1,46,46,1360252739860,1360252739860,674123560,674123560,0
1360252767,674150732,1,46,46,1360252740849,1360252740849,674124581,674124581,0
1360252767,674150776,3,138,46,1360252739785,1360252740809,674123561,674124585,1024
1360252767,674150804,2,92,46,1360252740778,1360252740842,674124582,674124646,64
1360252769,3607432664,41,55711,1358.804878,1360252742054,1360252742502,3607405718,3607406166,448
1360252773,3607436688,1,60,60,1360252746766,1360252746766,3607410454,3607410454,0
1360252782,674165540,20,6716,335.8,1360252774834,1360252776754,674158374,674160294,1920
1360252799,674182800,16,7490,468.125,1360252771759,1360252774511,674155559,674158311,2752
1360252799,674182804,27,7890,292.2222222,1360252774764,1360252776876,674158568,674160680,2112
1360252803,674186712,14,7361,525.7857143,1360252775943,1360252776519,674159655,674160231,576
1360252803,674187060,59,42548,721.1525424,1360252776234,1360252779818,674160294,674163878,3584
1360252825,3607488712,1,52,52,1360252799990,1360252799990,3607463702,3607463702,0
1360252825,3607488752,1,52,52,1360252799116,1360252799116,3607462868,3607462868,0
1360252825,3607488760,1,52,52,1360252799939,1360252799939,3607463699,3607463699,0
1360252829,3607492692,57,77232,1354.947368,1360252802503,1360252803079,3607466195,3607466771,576
1360252829,3607492744,18,22425,1245.833333,1360252802196,1360252802324,3607465940,3607466068,128
1360252831,674214832,13,8665,666.5384615,1360252803469,1360252803853,674187301,674187685,384
1360252838,674221568,3,138,46,1360252830807,1360252830935,674214375,674214503,128
1360252863,3607526244,8288,11814319,1425.472852,1360252803912,1360252835592,3607467156,3607498836,31680
