unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359733436,154821684,1,46,46,1359733408932,1359733408932,154794616,154794616,0
1359733918,155303928,1,48,48,1359733891048,1359733891048,155276976,155276976,0
1359735260,156645596,7,1183,169,1359735233440,1359735251360,156619036,156636956,17920
1359735280,156666048,2,1313,656.5,1359735269147,1359735272987,156655195,156659035,3840
1359735332,156718068,1,1261,1261,1359735305606,1359735305606,156691674,156691674,0
1359735617,157002676,1,90,90,1359735592520,1359735592520,156978196,156978196,0
1359735683,157068348,1,46,46,1359735656273,1359735656273,157041621,157041621,0
1359735714,157100108,1,48,48,1359735686105,1359735686105,157072213,157072213,0
1359735841,157227044,3,304,101.3333333,1359735815636,1359735815636,157201680,157201680,0
1359735841,157227056,3,512,170.6666667,1359735813192,1359735813384,157199248,157199440,192
1359735841,157227060,22,4697,213.5,1359735813448,1359735819656,157199508,157205716,6208
1359735841,157227060,3,1215,405,1359735813511,1359735813511,157199571,157199571,0
1359735841,157227092,9,2280,253.3333333,1359735813990,1359735814630,157200082,157200722,640
1359735962,157347136,1,52,52,1359735934431,1359735934431,157319567,157319567,0
1359736057,157442384,2,104,52,1359736056294,1359736056550,157441678,157441934,256
1359736194,157579700,9,3464,384.8888889,1359736169511,1359736170023,157555211,157555723,512
1359736297,157682468,2,131,65.5,1359736290062,1359736290062,157675530,157675530,0
1359736347,157732200,1,52,52,1359736320601,1359736320601,157705801,157705801,0
1359736473,157858564,6,276,46,1359736470894,1359736470894,157856458,157856458,0
1359736473,157858572,13,3571,274.6923077,1359736471843,1359736472867,157857415,157858439,1024
1359736473,157858572,13,3571,274.6923077,1359736471843,1359736472867,157857415,157858439,1024
1359736473,157858616,13,1756,135.0769231,1359736470841,1359736471353,157856457,157856969,512
1359736473,157858648,16,2466,154.125,1359736471896,1359736472536,157857544,157858184,640
1359736481,157866644,11,1565,142.2727273,1359736472859,1359736473371,157858503,157859015,512
1359736499,157884552,7,1458,208.2857143,1359736473336,1359736473720,157858888,157859272,384
1359736601,157986808,2,131,65.5,1359736593336,1359736593336,157979144,157979144,0
1359736707,158093096,24,8750,364.5833333,1359736680085,1359736682581,158066181,158068677,2496
1359736748,158133336,2,129,64.5,1359736720524,1359736720524,158105860,158105860,0
1359736777,158162776,4,184,46,1359736776213,1359736776213,158161989,158161989,0
1359736777,158162808,13,3398,261.3846154,1359736774323,1359736775603,158160131,158161411,1280
1359736804,158189500,10,3524,352.4,1359736776551,1359736778855,158162051,158164355,2304
1359736820,158205516,1,90,90,1359736793559,1359736793559,158179075,158179075,0
1359736905,158290896,6,447,74.5,1359736898265,1359736902745,158284161,158288641,4480
1359736932,158318012,1,79,79,1359736907364,1359736907364,158293376,158293376,0
1359737081,158467016,4,184,46,1359737079390,1359737079390,158465406,158465406,0
1359737105,158490444,7,1458,208.2857143,1359737079962,1359737080410,158465406,158465854,448
1359737201,158587076,2,131,65.5,1359737199650,1359737199650,158585726,158585726,0
1359737281,158666860,1,90,90,1359737255095,1359737255095,158640955,158640955,0
1359737289,158675096,2,189,94.5,1359737282445,1359737282445,158668541,158668541,0
1359737386,158771372,2,92,46,1359737381792,1359737381856,158767164,158767228,64
1359737422,158807344,9,3464,384.8888889,1359737396729,1359737397433,158782073,158782777,704
1359737522,158907856,2,131,65.5,1359737516793,1359737516793,158902649,158902649,0
1359737610,158995624,1,46,46,1359737583583,1359737583583,158969207,158969207,0
1359737610,158995696,22,8646,393,1359737583512,1359737584920,158969208,158970616,1408
1359737646,159031844,1,77,77,1359737620226,1359737620226,159006070,159006070,0
1359737666,159051780,7,3141,448.7142857,1359737641091,1359737641347,159026871,159027127,256
1359737699,159084196,4,184,46,1359737698635,1359737698699,159083831,159083895,64
1359737721,159107064,10,4890,489,1359737697827,1359737699043,159083891,159085107,1216
1359737827,159212312,2,131,65.5,1359737819605,1359737819605,159204917,159204917,0
1359737906,159292032,1,52,52,1359737881089,1359737881089,159267121,159267121,0
1359738003,159388736,4,184,46,1359738000747,1359738000747,159386483,159386483,0
1359738027,159412488,9,3464,384.8888889,1359738000927,1359738001439,159386415,159386927,512
1359738047,159432536,1,90,90,1359738020016,1359738020016,159405552,159405552,0
1359738123,159508820,2,131,65.5,1359738120977,1359738120977,159506797,159506797,0
1359738163,159549032,4,750,187.5,1359738159039,1359738159423,159545071,159545455,384
1359738163,159549040,6,1025,170.8333333,1359738159991,1359738160375,159546031,159546415,384
1359738163,159549044,5,796,159.2,1359738160372,1359738161012,159546416,159547056,640
1359738163,159549048,7,893,127.5714286,1359738161136,1359738161328,159547184,159547376,192
1359738163,159549048,30,34683,1156.1,1359738158062,1359738158638,159544110,159544686,576
1359738163,159549072,5,781,156.2,1359738161880,1359738162072,159547952,159548144,192
1359738163,159549076,6,1019,169.8333333,1359738159569,1359738159953,159545645,159546029,384
1359738163,159549112,19,9742,512.7368421,1359738157295,1359738158575,159543407,159544687,1280
1359738164,159549120,5,799,159.8,1359738162509,1359738162701,159547629,159547821,192
1359738164,159549120,6,844,140.6666667,1359738163021,1359738163405,159548141,159548525,384
1359738167,159552892,5,758,151.6,1359738162700,1359738162892,159548592,159548784,192
1359738171,159557092,7,3219,459.8571429,1359738164609,1359738164801,159550701,159550893,192
1359738172,159557128,6,833,138.8333333,1359738163719,1359738163911,159548847,159549039,192
1359738179,159564924,1,198,198,1359738151081,1359738151081,159537005,159537005,0
1359738187,159573044,52,39773,764.8653846,1359738161907,1359738166579,159547951,159552623,4672
1359738188,159573252,2,189,94.5,1359738185290,1359738185290,159570542,159570542,0
1359738191,159577028,17,7040,414.1176471,1359738162816,1359738165824,159548844,159551852,3008
1359738208,3092872748,29,36921,1273.137931,1359738204280,1359738207224,3092869028,3092871972,2944
1359738208,3092872748,13,13312,1024,1359738204344,1359738207224,3092869092,3092871972,2880
1359738208,3092872748,18,18056,1003.111111,1359738204152,1359738207224,3092868900,3092871972,3072
1359738209,3092872768,2,112,56,1359738205323,1359738208203,3092869091,3092871971,2880
1359738209,3092872768,4,653,163.25,1359738205258,1359738207370,3092869026,3092871138,2112
1359738212,159597220,5,980,196,1359738208360,1359738211304,159593580,159596524,2944
1359738212,159597224,4,492,123,1359738205286,1359738208102,159590510,159593326,2816
1359738212,159597228,4,267,66.75,1359738209059,1359738211299,159594287,159596527,2240
1359738212,159597228,5,565,113,1359738209313,1359738209505,159594541,159594733,192
1359738212,159597236,4,587,146.75,1359738206875,1359738208987,159592111,159594223,2112
1359738212,159597268,7,3203,457.5714286,1359738208312,1359738208376,159593580,159593644,64
1359738212,159597268,4,479,119.75,1359738208312,1359738211192,159593580,159596460,2880
1359738212,159597272,6,2640,440,1359738205238,1359738209014,159590510,159594286,3776
1359738216,3092880732,6,3311,551.8333333,1359738205703,1359738210375,3092870435,3092875107,4672
1359738216,3092880732,4,483,120.75,1359738208199,1359738210375,3092872931,3092875107,2176
1359738216,3092880732,6,1026,171,1359738206022,1359738210374,3092870754,3092875106,4352
1359738216,3092880736,4,484,121,1359738206149,1359738208133,3092870885,3092872869,1984
1359738216,3092880736,5,2054,410.8,1359738207234,1359738210370,3092871970,3092875106,3136
1359738216,3092880740,59,73020,1237.627119,1359738204353,1359738210369,3092869093,3092875109,6016
1359738216,3092880740,22,24973,1135.136364,1359738204352,1359738208128,3092869092,3092872868,3776
1359738216,3092880740,7,3577,511,1359738204352,1359738208192,3092869092,3092872932,3840
1359738216,3092880740,4,483,120.75,1359738205694,1359738208126,3092870434,3092872866,2432
