unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359698661,120046380,1,46,46,1359698634533,1359698634533,120019913,120019913,0
1359700000,121385412,1,46,46,1359699974705,1359699974705,121360117,121360117,0
1359701723,3056386892,1,46,46,1359701697245,1359701697245,3056361137,3056361137,0
1359701778,123164092,1,46,46,1359701751854,1359701751854,123137946,123137946,0
1359701955,123340256,1,46,46,1359701928751,1359701928751,123314007,123314007,0
1359701955,123340320,1,46,46,1359701928238,1359701928238,123313558,123313558,0
1359735683,157068944,1,46,46,1359735656829,1359735656829,157042773,157042773,0
1359735684,157069640,1,46,46,1359735655978,1359735655978,157041618,157041618,0
1359735715,157100188,1,48,48,1359735687090,1359735687090,157072278,157072278,0
1359736371,157756212,1,46,46,1359736344525,1359736344525,157729737,157729737,0
1359736928,158313948,5,250,50,1359736903655,1359736924711,158289603,158310659,21056
1359737721,159106180,9,4249,472.1111111,1359737718745,1359737718873,159103925,159104053,128
1359737721,159106568,12,3255,271.25,1359737718612,1359737718804,159104180,159104372,192
1359737721,159106572,12,4583,381.9166667,1359737718611,1359737719187,159104183,159104759,576
1359737721,159106572,10,3869,386.9,1359737718610,1359737718994,159104182,159104566,384
1359737721,159106584,14,5536,395.4285714,1359737718725,1359737719173,159104309,159104757,448
1359737721,159106612,8,3139,392.375,1359737718763,1359737719019,159104375,159104631,256
1359737721,159106612,8,3139,392.375,1359737718763,1359737719019,159104375,159104631,256
1359737721,159106612,7,2790,398.5714286,1359737718763,1359737719019,159104375,159104631,256
1359737721,159106624,14,5522,394.4285714,1359737718878,1359737719326,159104502,159104950,448
1359737721,159106624,11,8638,785.2727273,1359737718940,1359737719004,159104564,159104628,64
1359737721,159106696,12,3255,271.25,1359737719189,1359737719637,159104885,159105333,448
1359737721,159106696,12,3254,271.1666667,1359737719189,1359737719317,159104885,159105013,128
1359737721,159106708,6,2125,354.1666667,1359737719240,1359737719432,159104948,159105140,192
1359737721,159106744,10,5127,512.7,1359737716070,1359737716262,159101814,159102006,192
1359737721,159106744,9,5162,573.5555556,1359737716070,1359737716134,159101814,159101878,64
1359737721,159106748,11,6317,574.2727273,1359737716192,1359737716512,159101940,159102260,320
1359737721,159106748,8,5043,630.375,1359737716192,1359737716512,159101940,159102260,320
1359737721,159106772,11,6317,574.2727273,1359737716170,1359737716490,159101942,159102262,320
1359737721,159106772,6,2870,478.3333333,1359737719368,1359737719688,159105140,159105460,320
1359737721,159106784,27,10454,387.1851852,1359737716287,1359737719935,159102071,159105719,3648
1359737721,159106784,8,5043,630.375,1359737716286,1359737716478,159102070,159102262,192
