unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359840460,261845092,1,46,46,1359840433299,1359840433299,261818391,261818391,0
1359841587,262972484,1,48,48,1359841560379,1359841560379,262945863,262945863,0
1359841828,263212832,1,56,56,1359841801411,1359841801411,263186243,263186243,0
1359842088,263473340,1,46,46,1359842063619,1359842063619,263448959,263448959,0
1359842349,263734084,14,9954,711,1359842345213,1359842345853,263730297,263730937,640
1359842349,263734088,9,3314,368.2222222,1359842342650,1359842343546,263727738,263728634,896
1359842349,263734128,9,2664,296,1359842346770,1359842346962,263731898,263732090,192
1359842349,263734132,9,2664,296,1359842347088,1359842347280,263732220,263732412,192
1359842357,3197020824,4,971,242.75,1359842341825,1359842356865,3197005649,3197020689,15040
1359842357,263742104,65,91888,1413.661538,1359842350249,1359842350505,263735353,263735609,256
1359842357,263742108,38,51915,1366.184211,1359842351141,1359842351397,263736249,263736505,256
1359842357,263742112,9,2664,296,1359842354660,1359842354788,263739772,263739900,128
1359842357,263742144,9,2664,296,1359842353412,1359842353796,263738556,263738940,384
1359842357,263742144,8,2021,252.625,1359842349954,1359842350082,263735098,263735226,128
1359842357,263742144,9,2664,296,1359842353857,1359842354433,263739001,263739577,576
1359842365,263750128,7,1838,262.5714286,1359842359571,1359842359699,263744699,263744827,128
1359842365,263750164,10,3264,326.4,1359842344942,1359842360238,263730106,263745402,15296
1359842373,263758100,14,2949,210.6428571,1359842350767,1359842367919,263735867,263753019,17152
1359842377,263761868,1,108,108,1359842349016,1359842349016,263733884,263733884,0
1359842377,263761872,18,5954,330.7777778,1359842349140,1359842359764,263734012,263744636,10624
1359842377,263761872,1,108,108,1359842349203,1359842349203,263734075,263734075,0
1359842377,263761964,1,108,108,1359842348984,1359842348984,263733948,263733948,0
1359842381,3197044824,5,2885,577,1359842376387,1359842380355,3197040211,3197044179,3968
1359842381,263766196,7,2320,331.4285714,1359842377101,1359842380237,263762297,263765433,3136
1359842381,263766200,2,92,46,1359842373897,1359842373961,263759097,263759161,64
1359842397,263782160,5,1284,256.8,1359842373938,1359842388978,263759098,263774138,15040
1359842401,263786016,1,46,46,1359842374144,1359842374144,263759160,263759160,0
1359842417,263801996,2,130,65,1359842392788,1359842399636,263777784,263784632,6848
1359842461,263846064,2,130,65,1359842433423,1359842439567,263818487,263824631,6144
1359842501,263886452,2,130,65,1359842473612,1359842479180,263859064,263864632,5568
1359842541,263926356,2,130,65,1359842514540,1359842519276,263899896,263904632,4736
1359842581,263966660,2,130,65,1359842554813,1359842558973,263940473,263944633,4160
1359842621,264006472,3,208,69.33333333,1359842595637,1359842599157,263981109,263984629,3520
1359842646,264030788,9,1950,216.6666667,1359842640801,1359842640929,264025589,264025717,128
1359842662,264046932,2,130,65,1359842636883,1359842639699,264021815,264024631,2816
1359842702,264086900,2,130,65,1359842677490,1359842679730,264062390,264064630,2240
1359842746,264130848,2,130,65,1359842718435,1359842719779,264103283,264104627,1344
1359842786,264170904,2,130,65,1359842759340,1359842759724,264144244,264144628,384
1359842826,264211336,2,130,65,1359842799290,1359842799738,264184626,264185074,448
1359842866,264251360,2,130,65,1359842839269,1359842840357,264224629,264225717,1088
1359842906,264291440,2,130,65,1359842879188,1359842880852,264264628,264266292,1664
1359842946,264331552,2,130,65,1359842919074,1359842921314,264304626,264306866,2240
1359842959,264344028,8,1890,236.25,1359842950575,1359842951023,264335603,264336051,448
1359842987,264371836,2,130,65,1359842959789,1359842962605,264344625,264347441,2816
1359843011,264395972,1,60,60,1359842984996,1359842984996,264369968,264369968,0
1359843014,264399724,1,60,60,1359842985907,1359842985907,264371631,264371631,0
1359843027,264411896,2,130,65,1359842999730,1359843003186,264384626,264388082,3456
1359843067,264451828,2,130,65,1359843039797,1359843044021,264424625,264428849,4224
1359843091,264475940,1,60,60,1359843066115,1359843066115,264451055,264451055,0
1359843107,264492036,2,130,65,1359843079588,1359843084452,264464624,264469488,4864
1359843115,264500016,1,60,60,1359843087991,1359843087991,264473007,264473007,0
1359843147,264532116,2,130,65,1359843119507,1359843124883,264504623,264509999,5376
1359843167,264552240,1,60,60,1359843141848,1359843141848,264527088,264527088,0
1359843179,264564164,1,60,60,1359843151010,1359843151010,264536174,264536174,0
1359843187,264572324,2,130,65,1359843159297,1359843165249,264544621,264550573,5952
1359843227,264612372,2,130,65,1359843199249,1359843205905,264584621,264591277,6656
1359843247,264632320,1,60,60,1359843221637,1359843221637,264606957,264606957,0
1359843267,264652392,2,130,65,1359843239229,1359843246589,264624621,264631981,7360
1359843271,264656612,8,1890,236.25,1359843267040,1359843267232,264652652,264652844,192
1359843271,264656660,8,3262,407.75,1359843267249,1359843267697,264652909,264653357,448
1359843279,264664648,8,2021,252.625,1359843278589,1359843278781,264664237,264664429,192
1359843279,264664664,38,51915,1366.184211,1359843273071,1359843273327,264658735,264658991,256
1359843285,3197949096,4,971,242.75,1359843266295,1359843281335,3197930391,3197945431,15040
1359843287,264672672,10,3264,326.4,1359843268323,1359843283683,264653995,264669355,15360
1359843292,3197956504,1,46,46,1359843266849,1359843266849,3197931353,3197931353,0
1359843296,264680788,1,46,46,1359843268503,1359843268503,264653291,264653291,0
1359843296,264680824,1,52,52,1359843268853,1359843268853,264653677,264653677,0
1359843296,264681116,8,1637,204.625,1359843273232,1359843288592,264658348,264673708,15360
1359843299,264684376,19,4232,222.7368421,1359843270860,1359843272780,264656236,264658156,1920
1359843303,264688388,1,108,108,1359843278274,1359843278274,264663662,264663662,0
1359843303,264688392,1,108,108,1359843278334,1359843278334,264663726,264663726,0
1359843303,264688392,1,108,108,1359843278397,1359843278397,264663789,264663789,0
1359843339,264724404,2,112,56,1359843312880,1359843313008,264698284,264698412,128
1359843379,264764444,2,112,56,1359843352839,1359843353607,264738283,264739051,768
1359843419,264804560,2,112,56,1359843392723,1359843394131,264778283,264779691,1408
1359843459,264844604,2,112,56,1359843432679,1359843434855,264818283,264820459,2176
1359843499,264884528,2,112,56,1359843472753,1359843475569,264858281,264861097,2816
1359843539,264924532,2,112,56,1359843512748,1359843516140,264898280,264901672,3392
1359843576,264961120,8,1890,236.25,1359843574729,1359843574857,264959849,264959977,128
1359843579,264964596,2,112,56,1359843552684,1359843556652,264938280,264942248,3968
1359843620,265004928,2,112,56,1359843593480,1359843598152,264978408,264983080,4672
1359843660,265044980,2,112,56,1359843633426,1359843638674,265018406,265023654,5248
1359843700,265085084,2,112,56,1359843673321,1359843679273,265058405,265064357,5952
1359843740,265125124,2,112,56,1359843713283,1359843720003,265098407,265105127,6720
1359843780,265165240,2,112,56,1359843753227,1359843760715,265138467,265145955,7488
1359843820,265205076,2,112,56,1359843793456,1359843801520,265178532,265186596,8064
1359843860,265245196,2,112,56,1359843833335,1359843841911,265218531,265227107,8576
1359843888,265273492,8,1890,236.25,1359843884302,1359843884430,265269794,265269922,128
1359843900,265285284,2,112,56,1359843873249,1359843882465,265258533,265267749,9216
1359843940,265325272,2,112,56,1359843913260,1359843923180,265298532,265308452,9920
1359843980,265365280,2,112,56,1359843953252,1359843963876,265338532,265349156,10624
1359844020,265405424,2,112,56,1359843993168,1359844004432,265378592,265389856,11264
1359844060,265445504,2,112,56,1359844033154,1359844045058,265418658,265430562,11904
1359844100,265485568,2,112,56,1359844073089,1359844085569,265458657,265471137,12480
1359844140,265525752,2,112,56,1359844112902,1359844126150,265498654,265511902,13248
1359844180,265565680,2,112,56,1359844152975,1359844166735,265538655,265552415,13760
1359844201,265585932,8,1890,236.25,1359844194939,1359844195003,265579871,265579935,64
1359844220,265605740,2,112,56,1359844192915,1359844207443,265578655,265593183,14528
1359844261,265645904,2,112,56,1359844233748,1359844248980,265618652,265633884,15232
1359844301,265686080,2,112,56,1359844273574,1359844289382,265658654,265674462,15808
1359844341,265726132,2,112,56,1359844313521,1359844330033,265698653,265715165,16512
1359844381,265766268,2,112,56,1359844353386,1359844370474,265738654,265755742,17088
1359844421,265806448,2,112,56,1359844393204,1359844410996,265778652,265796444,17792
1359844436,265821404,1,48,48,1359844407712,1359844407712,265793116,265793116,0
1359844461,265846604,2,112,56,1359844433047,1359844451671,265818651,265837275,18624
1359844501,265886672,2,112,56,1359844472977,1359844492113,265858649,265877785,19136
1359844505,265890500,8,1890,236.25,1359844504319,1359844504447,265889819,265889947,128
1359844542,265926784,2,112,56,1359844513866,1359844533514,265898650,265918298,19648
1359844582,265966848,2,112,56,1359844553801,1359844574089,265938649,265958937,20288
1359844617,266002536,5,230,46,1359844593114,1359844610522,265978650,265996058,17408
1359844617,266002584,2,92,46,1359844610474,1359844610474,265996058,265996058,0
1359844638,266023028,1,46,46,1359844611027,1359844611027,265996055,265996055,0
1359844638,3199302428,1,46,46,1359844610292,1359844610292,3199274720,3199274720,0
1359844651,266036128,1,64,64,1359844622256,1359844622256,266007384,266007384,0
1359844665,266050580,8,3262,407.75,1359844659050,1359844659562,266044630,266045142,512
1359844665,266050584,8,2021,252.625,1359844662440,1359844662568,266048024,266048152,128
1359844665,266050612,13,9931,763.9230769,1359844663819,1359844664523,266049431,266050135,704
1359844673,266058580,65,91888,1413.661538,1359844666603,1359844667051,266052183,266052631,448
1359844673,266058580,65,91888,1413.661538,1359844666602,1359844667050,266052182,266052630,448
1359844673,266058588,38,51915,1366.184211,1359844668197,1359844668389,266053785,266053977,192
1359844673,266058616,9,3013,334.7777778,1359844665671,1359844665991,266051287,266051607,320
1359844677,3199341500,5,1031,206.2,1359844658095,1359844673135,3199322595,3199337635,15040
1359844681,266066596,8,1890,236.25,1359844673627,1359844673819,266059223,266059415,192
1359844681,266066612,10,3264,326.4,1359844661002,1359844676298,266046614,266061910,15296
1359844686,266071116,1,108,108,1359844660474,1359844660474,266045590,266045590,0
1359844686,266071228,1,108,108,1359844660299,1359844660299,266045527,266045527,0
1359844686,266071232,1,108,108,1359844660423,1359844660423,266045655,266045655,0
1359844689,266074628,15,2995,199.6666667,1359844667772,1359844687868,266053400,266073496,20096
1359844689,266074632,2,92,46,1359844687865,1359844687865,266073497,266073497,0
1359844690,266075064,16,4069,254.3125,1359844665840,1359844674224,266050904,266059288,8384
1359844705,266090604,4,724,181,1359844687890,1359844702930,266073494,266088534,15040
1359844734,266119244,2,112,56,1359844707836,1359844713980,266093080,266099224,6144
1359844774,266159456,2,112,56,1359844748132,1359844753764,266133588,266139220,5632
1359844814,266199688,2,112,56,1359844788415,1359844793535,266174103,266179223,5120
1359844854,266239736,2,112,56,1359844829004,1359844833484,266214740,266219220,4480
1359844895,266279900,2,112,56,1359844870353,1359844874321,266255253,266259221,3968
1359844939,266324004,2,112,56,1359844910951,1359844914215,266295955,266299219,3264
1359844961,266346684,8,1890,236.25,1359844955455,1359844955647,266341139,266341331,192
1359844979,266364052,2,112,56,1359844951607,1359844954167,266336659,266339219,2560
1359845019,266404152,2,112,56,1359844992081,1359844994065,266377233,266379217,1984
1359845059,266444460,2,112,56,1359845032542,1359845033758,266418002,266419218,1216
1359845099,266484400,2,112,56,1359845073177,1359845073817,266458577,266459217,640
1359845139,266524408,2,112,56,1359845113806,1359845113806,266499214,266499214,0
1359845179,266564476,2,112,56,1359845153740,1359845154316,266539216,266539792,576
1359845220,266604856,2,112,56,1359845194421,1359845195573,266579277,266580429,1152
1359845260,266644928,2,112,56,1359845234349,1359845236077,266619277,266621005,1728
1359845274,266658928,8,1890,236.25,1359845272813,1359845273005,266657741,266657933,192
1359845282,266666900,41,56415,1375.97561,1359845280139,1359845280331,266665039,266665231,192
1359845282,266666904,8,3262,407.75,1359845274564,1359845275012,266659468,266659916,448
1359845290,266674960,8,2021,252.625,1359845285517,1359845285773,266670477,266670733,256
1359845294,3199957656,4,971,242.75,1359845273853,1359845288893,3199937509,3199952549,15040
1359845298,266682936,10,3264,326.4,1359845275621,1359845290981,266660557,266675917,15360
1359845299,3199963424,1,46,46,1359845273084,1359845273084,3199937508,3199937508,0
1359845299,266684668,8,1637,204.625,1359845278922,1359845294282,266664590,266679950,15360
1359845300,266684968,1,46,46,1359845273799,1359845273799,266658767,266658767,0
1359845304,266688824,16,4088,255.5,1359845277910,1359845279766,266662734,266664590,1856
1359845304,266688908,1,46,46,1359845277441,1359845277441,266662349,266662349,0
1359845312,266696872,1,108,108,1359845285159,1359845285159,266670031,266670031,0
1359845312,266696976,1,108,108,1359845284989,1359845284989,266669965,266669965,0
1359845312,266696976,1,108,108,1359845284860,1359845284860,266669836,266669836,0
1359845344,266729024,2,112,56,1359845319627,1359845319883,266704651,266704907,256
1359845384,266769368,2,112,56,1359845359221,1359845360053,266744589,266745421,832
1359845424,266809384,2,112,56,1359845399203,1359845400803,266784587,266786187,1600
1359845464,266849500,2,112,56,1359845439088,1359845441392,266824588,266826892,2304
1359845504,266889380,2,112,56,1359845479208,1359845482216,266864588,266867596,3008
1359845545,266929872,2,112,56,1359845519713,1359845523425,266904585,266908297,3712
1359845585,266969864,2,112,56,1359845559721,1359845564137,266944585,266949001,4416
1359845586,266971200,8,1890,236.25,1359845580121,1359845580313,266965321,266965513,192
1359845625,267009916,2,112,56,1359845599669,1359845604917,266984585,266989833,5248
1359845665,267049944,2,112,56,1359845639641,1359845645529,267024585,267030473,5888
1359845705,267090312,2,112,56,1359845679271,1359845685799,267064583,267071111,6528
1359845745,267130308,2,112,56,1359845719273,1359845726313,267104581,267111621,7040
1359845785,267170388,2,112,56,1359845759195,1359845766811,267144583,267152199,7616
1359845825,267210292,2,112,56,1359845799288,1359845807480,267184580,267192772,8192
1359845865,267250380,2,112,56,1359845839199,1359845848159,267224579,267233539,8960
1359845898,267283264,8,1890,236.25,1359845890071,1359845890199,267275335,267275463,128
1359845905,267290316,2,112,56,1359845879265,1359845888801,267264581,267274117,9536
1359845945,267330372,2,112,56,1359845919209,1359845929321,267304581,267314693,10112
1359845985,267370572,2,112,56,1359845959009,1359845969697,267344581,267355269,10688
1359846025,267410536,2,112,56,1359845999043,1359846010499,267384579,267396035,11456
1359846065,267450684,2,112,56,1359846038893,1359846051181,267424577,267436865,12288
1359846105,267490608,2,112,56,1359846078968,1359846091896,267464576,267477504,12928
1359846145,267530740,2,112,56,1359846118836,1359846132468,267504576,267518208,13632
1359846186,267570928,2,112,56,1359846159713,1359846173857,267544641,267558785,14144
