unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1360714111,1135493644,1,46,46,1360714086437,1360714086437,1135469081,1135469081,0
1360714305,1135687084,1,48,48,1360714278673,1360714278673,1135660757,1135660757,0
1360717139,1138521796,1,46,46,1360717113310,1360717113310,1138496106,1138496106,0
1360717244,1138626696,10,3841,384.1,1360717236993,1360717237121,1138619689,1138619817,128
1360717251,4071913468,4,428,107,1360717245005,1360717245069,4071907473,4071907537,64
1360717252,1138634556,15,12053,803.5333333,1360717246415,1360717247247,1138628971,1138629803,832
1360717252,1138634560,7,1320,188.5714286,1360717244425,1360717244937,1138626985,1138627497,512
1360717252,1138634588,5,604,120.8,1360717244847,1360717245359,1138627435,1138627947,512
1360717252,1138634592,4,556,139,1360717244906,1360717244970,1138627498,1138627562,64
1360717252,1138634600,4,396,99,1360717235615,1360717247327,1138618215,1138629927,11712
1360717252,1138634644,14,7662,547.2857143,1360717247284,1360717248052,1138629928,1138630696,768
1360717252,1138634672,10,6974,697.4,1360717245080,1360717246296,1138627752,1138628968,1216
1360717260,1138642564,9,6269,696.5555556,1360717247366,1360717252870,1138629930,1138635434,5504
1360717260,1138642608,9,2369,263.2222222,1360717249690,1360717254810,1138632298,1138637418,5120
1360717260,1138642608,8,2254,281.75,1360717249625,1360717254745,1138632233,1138637353,5120
1360717260,1138642608,7,604,86.28571429,1360717249689,1360717255001,1138632297,1138637609,5312
1360717260,1138642608,9,2369,263.2222222,1360717249689,1360717254809,1138632297,1138637417,5120
1360717260,1138642612,8,5545,693.125,1360717243990,1360717259798,1138626602,1138642410,15808
1360717260,1138642684,8,2254,281.75,1360717249550,1360717254670,1138632234,1138637354,5120
1360717260,1138642684,8,2272,284,1360717249549,1360717254733,1138632233,1138637417,5184
1360717260,1138642684,9,2302,255.7777778,1360717249548,1360717254668,1138632232,1138637352,5120
1360717260,1138642684,8,2254,281.75,1360717249548,1360717254668,1138632232,1138637352,5120
1360717261,4071923128,11,11777,1070.636364,1360717235553,1360717235745,4071897681,4071897873,192
1360717262,1138644676,8,3722,465.25,1360717236883,1360717237139,1138619559,1138619815,256
1360717265,4071927068,5,1050,210,1360717237789,1360717238045,4071899857,4071900113,256
1360717270,1138652592,16,7510,469.375,1360717245864,1360717246888,1138628456,1138629480,1024
1360717270,1138652604,3,530,176.6666667,1360717244315,1360717244315,1138626919,1138626919,0
1360717270,1138652628,4,1576,394,1360717244549,1360717246981,1138627177,1138629609,2432
1360717270,1138652628,3,836,278.6666667,1360717244549,1360717244549,1138627177,1138627177,0
1360717270,1138652632,3,835,278.3333333,1360717244544,1360717244544,1138627176,1138627176,0
1360717270,1138652640,13,9283,714.0769231,1360717244920,1360717248376,1138627560,1138631016,3456
1360717274,1138656596,6,2610,435,1360717246629,1360717246693,1138629225,1138629289,64
1360717274,1138656604,4,926,231.5,1360717247006,1360717247262,1138629610,1138629866,256
1360717274,1138656696,37,38916,1051.783784,1360717248383,1360717251519,1138631079,1138634215,3136
1360717274,1138656836,11,7805,709.5454545,1360717249461,1360717252085,1138632297,1138634921,2624
1360717274,1138656860,55,47546,864.4727273,1360717249437,1360717269853,1138632297,1138652713,20416
1360717284,1138666568,8,556,69.5,1360717277953,1360717283201,1138660521,1138665769,5248
1360717284,1138666568,8,556,69.5,1360717277953,1360717283201,1138660521,1138665769,5248
1360717284,1138666568,8,556,69.5,1360717277953,1360717283201,1138660521,1138665769,5248
1360717284,1138666568,8,556,69.5,1360717277953,1360717283201,1138660521,1138665769,5248
1360717284,1138666624,9,757,84.11111111,1360717277896,1360717283144,1138660520,1138665768,5248
1360717284,1138666624,9,757,84.11111111,1360717277896,1360717283144,1138660520,1138665768,5248
1360717302,1138684728,12,7999,666.5833333,1360717274018,1360717297506,1138656746,1138680234,23488
1360717302,1138684844,18,14271,792.8333333,1360717273901,1360717297325,1138656745,1138680169,23424
1360717330,1138712912,2,94,47,1360717303912,1360717304040,1138686824,1138686952,128
1360717358,1138740840,1,134,134,1360717331183,1360717331183,1138714023,1138714023,0
1360717372,1138754680,2,92,46,1360717368144,1360717368144,1138750824,1138750824,0
1360717372,1138754712,2,92,46,1360717364078,1360717364078,1138746790,1138746790,0
1360717377,4072039388,1,46,46,1360717351391,1360717351391,4072013779,4072013779,0
1360717378,1138760976,1,46,46,1360717350822,1360717350822,1138733798,1138733798,0
1360717381,4072043428,1,46,46,1360717353335,1360717353335,4072015763,4072015763,0
1360717386,1138768860,1,46,46,1360717359897,1360717359897,1138742757,1138742757,0
1360717386,1138768980,1,46,46,1360717359780,1360717359780,1138742760,1138742760,0
1360717387,1138768984,1,46,46,1360717360773,1360717360773,1138742757,1138742757,0
1360717390,1138772852,1,46,46,1360717361892,1360717361892,1138744744,1138744744,0
1360717390,1138772852,1,46,46,1360717361891,1360717361891,1138744743,1138744743,0
1360717390,1138772852,1,46,46,1360717361953,1360717361953,1138744805,1138744805,0
1360717390,1138772856,1,46,46,1360717362080,1360717362080,1138744936,1138744936,0
1360717399,1138781016,1,134,134,1360717372006,1360717372006,1138754022,1138754022,0
1360717406,1138788916,1,46,46,1360717378980,1360717378980,1138761896,1138761896,0
1360717420,1138802756,2,92,46,1360717413060,1360717413060,1138795816,1138795816,0
1360717439,1138821268,1,134,134,1360717411817,1360717411817,1138794085,1138794085,0
1360717479,1138861128,1,134,134,1360717451959,1360717451959,1138834087,1138834087,0
1360717485,4072147428,5,684,136.8,1360717460536,1360717461880,4072122964,4072124308,1344
1360717508,1138890680,11,10469,951.7272727,1360717502990,1360717503310,1138885670,1138885990,320
1360717519,1138901248,1,134,134,1360717491838,1360717491838,1138874086,1138874086,0
1360717525,4072187432,4,628,157,1360717498421,1360717498613,4072160853,4072161045,192
1360717533,4072195456,4,636,159,1360717508317,1360717508509,4072170773,4072170965,192
1360717549,4072211420,1,46,46,1360717521791,1360717521791,4072184211,4072184211,0
1360717559,1138941424,1,134,134,1360717531661,1360717531661,1138914085,1138914085,0
1360717572,1138954744,3,286,95.33333333,1360717571406,1360717571406,1138954150,1138954150,0
1360717599,1138981720,11,3247,295.1818182,1360717571490,1360717597474,1138954210,1138980194,25984
1360717599,1138981728,11,2301,209.1818182,1360717571740,1360717579036,1138954468,1138961764,7296
1360717628,1139010780,8,556,69.5,1360717618089,1360717623209,1139000869,1139005989,5120
1360717636,1139018748,8,556,69.5,1360717627656,1360717632712,1139010404,1139015460,5056
1360717637,4072299584,1,46,46,1360717610268,1360717610268,4072272852,4072272852,0
1360717637,4072299640,1,46,46,1360717610214,1360717610214,4072272854,4072272854,0
1360717639,1139021768,10,5307,530.7,1360717611381,1360717627445,1138994149,1139010213,16064
1360717643,1139025844,8,5512,689,1360717617064,1360717627752,1138999908,1139010596,10688
1360717671,1139053772,13,10208,785.2307692,1360717642926,1360717665582,1139025698,1139048354,22656
1360717671,1139053776,14,5037,359.7857143,1360717642985,1360717669353,1139025761,1139052129,26368
1360717676,1139058808,10,3995,399.5,1360717673355,1360717673675,1139056163,1139056483,320
1360717676,1139058816,24,12991,541.2916667,1360717670851,1360717673667,1139053667,1139056483,2816
1360717683,4072345536,6,1368,228,1360717671757,1360717677581,4072334293,4072340117,5824
1360717683,4072345540,8,1529,191.125,1360717673609,1360717678665,4072336149,4072341205,5056
