unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359730380,151765968,1,46,46,1359730355124,1359730355124,151741092,151741092,0
1359730677,152062864,1,46,46,1359730652569,1359730652569,152038433,152038433,0
1359731561,152946168,1,46,46,1359731533764,1359731533764,152918932,152918932,0
1359731561,152946476,1,46,46,1359731533455,1359731533455,152918931,152918931,0
1359731561,152946856,1,46,46,1359731533011,1359731533011,152918867,152918867,0
1359731561,152946868,1,46,46,1359731532998,1359731532998,152918866,152918866,0
1359732550,153935840,1,52,52,1359732521874,1359732521874,153907714,153907714,0
1359732590,153975920,1,46,46,1359732563651,1359732563651,153949571,153949571,0
1359733480,3088144068,18,22320,1240,1359733454914,1359733454978,3088118982,3088119046,64
1359733480,154865480,14,7491,535.0714286,1359733455020,1359733455340,154840500,154840820,320
1359733512,154897516,35,9207,263.0571429,1359733486730,1359733511498,154872246,154897014,24768
1359733512,154897568,24,5368,223.6666667,1359733486679,1359733487831,154872247,154873399,1152
1359733519,154904376,4,190,47.5,1359733514965,1359733515413,154900341,154900789,448
1359733540,3088204076,1,52,52,1359733515191,1359733515191,3088179267,3088179267,0
1359733544,154929604,32,7882,246.3125,1359733519729,1359733535729,154905333,154921333,16000
1359733548,154933568,1,93,93,1359733520211,1359733520211,154905779,154905779,0
1359733551,154936316,19,9346,491.8947368,1359733544464,1359733545296,154929780,154930612,832
1359733551,3088215592,2,112,56,1359733543798,1359733543862,3088208390,3088208454,64
1359733551,3088215592,2,112,56,1359733544627,1359733544691,3088209219,3088209283,64
1359733556,154941856,20,6166,308.3,1359733531319,1359733531959,154917175,154917815,640
1359733559,154944500,3,692,230.6666667,1359733544025,1359733553113,154929525,154938613,9088
1359733559,154944552,3,693,231,1359733544039,1359733554023,154929591,154939575,9984
1359733567,154952524,5,3017,603.4,1359733543938,1359733562498,154929462,154948022,18560
1359733567,154952536,4,350,87.5,1359733543860,1359733562420,154929396,154947956,18560
1359733567,154952604,7,3480,497.1428571,1359733545459,1359733562355,154931063,154947959,16896
1359733567,154952616,5,1398,279.6,1359733546981,1359733562341,154932597,154947957,15360
1359733567,154952616,19,21335,1122.894737,1359733547108,1359733562340,154932724,154947956,15232
1359733567,154952616,3,430,143.3333333,1359733547236,1359733562084,154932852,154947700,14848
1359733567,3088231588,11,5652,513.8181818,1359733543546,1359733562042,3088208134,3088226630,18496
1359733567,3088231588,8,5174,646.75,1359733543802,1359733562106,3088208390,3088226694,18304
1359733567,3088231588,16,10998,687.375,1359733543802,1359733562106,3088208390,3088226694,18304
1359733567,3088231588,4,670,167.5,1359733544440,1359733562232,3088209028,3088226820,17792
1359733567,3088231588,4,670,167.5,1359733544632,1359733562232,3088209220,3088226820,17600
1359733567,3088231588,4,670,167.5,1359733544695,1359733562039,3088209283,3088226627,17344
1359733567,3088231596,77,105682,1372.493506,1359733543473,1359733562097,3088208069,3088226693,18624
1359733567,3088231596,7,5117,731,1359733543792,1359733562096,3088208388,3088226692,18304
1359733567,3088231600,6,1228,204.6666667,1359733544431,1359733562287,3088209031,3088226887,17856
1359733567,3088231600,4,670,167.5,1359733544686,1359733562030,3088209286,3088226630,17344
1359733572,3088236108,1,60,60,1359733544986,1359733544986,3088209094,3088209094,0
1359733572,3088236136,1,60,60,1359733544957,1359733544957,3088209093,3088209093,0
1359733572,154957580,1,52,52,1359733544327,1359733544327,154929907,154929907,0
1359733583,154968500,3,168,56,1359733577177,1359733577177,154962677,154962677,0
1359733583,154968500,2,104,52,1359733577177,1359733577177,154962677,154962677,0
1359733620,155005672,1,46,46,1359733595627,1359733595627,154981299,154981299,0
1359733636,155021708,1,46,46,1359733608390,1359733608390,154994098,154994098,0
1359733831,155216648,15,3367,224.4666667,1359733823873,1359733824193,155209521,155209841,320
1359733831,155216688,15,3367,224.4666667,1359733823832,1359733824216,155209520,155209904,384
1359733836,155221956,50,15751,315.02,1359733811595,1359733815179,155197551,155201135,3584
1359733836,155222032,30,5940,198,1359733811519,1359733813439,155197551,155199471,1920
1359733849,155234436,1,60,60,1359733823123,1359733823123,155208559,155208559,0
1359733849,155234512,12,3319,276.5833333,1359733822985,1359733823945,155208497,155209457,960
1359733849,155234512,14,3832,273.7142857,1359733824329,1359733826313,155209841,155211825,1984
1359733849,155234592,11,2715,246.8181818,1359733824185,1359733825017,155209777,155210609,832
1359733853,155238176,19,11122,585.3684211,1359733826778,1359733851866,155211954,155237042,25088
1359733855,155240680,3,168,56,1359733851296,1359733851360,155236976,155237040,64
1359733855,155240696,2,104,52,1359733851281,1359733851281,155236977,155236977,0
1359733855,155240696,5,287,57.4,1359733851345,1359733851409,155237041,155237105,64
1359733861,155246228,30,5085,169.5,1359733834275,1359733836259,155219503,155221487,1984
1359733879,155264712,5,287,57.4,1359733872256,1359733872320,155257968,155258032,64
1359733881,155266188,1,46,46,1359733856524,1359733856524,155241712,155241712,0
1359733901,155286356,20,4746,237.3,1359733876388,1359733878500,155261744,155263856,2112
1359733905,155290404,25,13962,558.48,1359733877300,1359733880244,155262704,155265648,2944
1359733905,155290416,33,22769,689.969697,1359733880361,1359733892137,155265777,155277553,11776
1359733909,155294316,11,3185,289.5454545,1359733881482,1359733882378,155266798,155267694,896
1359733909,155294320,12,12199,1016.583333,1359733881417,1359733907913,155266737,155293233,26496
1359733909,155294320,18,9383,521.2777778,1359733881481,1359733883593,155266801,155268913,2112
1359733909,155294320,11,3684,334.9090909,1359733881481,1359733882441,155266801,155267761,960
1359733909,155294324,12,1164,97,1359733882116,1359733882500,155267440,155267824,384
1359733909,155294364,16,13753,859.5625,1359733881370,1359733907866,155266734,155293230,26496
1359733909,155294364,12,3707,308.9166667,1359733881434,1359733883226,155266798,155268590,1792
1359733909,155294388,37,39356,1063.675676,1359733881346,1359733908546,155266734,155293934,27200
1359733909,155294388,11,3006,273.2727273,1359733881410,1359733882754,155266798,155268142,1344
1359733909,155294392,93,129095,1388.11828,1359733881728,1359733882112,155267120,155267504,384
1359733919,155304568,1,48,48,1359733892177,1359733892177,155277745,155277745,0
1359733920,3088584364,26,31219,1200.730769,1359733892249,1359733907481,3088556613,3088571845,15232
1359733932,3088596368,30,39535,1317.833333,1359733907545,1359733908057,3088571913,3088572425,512
1359733933,155318332,15,15679,1045.266667,1359733905467,1359733907643,155290799,155292975,2176
1359733943,155328760,5,287,57.4,1359733936270,1359733936398,155322030,155322158,128
1359733943,155328760,5,287,57.4,1359733936270,1359733936398,155322030,155322158,128
1359733943,155328760,3,150,50,1359733936270,1359733936334,155322030,155322094,64
1359733943,155328760,2,112,56,1359733936270,1359733936334,155322030,155322094,64
1359733943,155328760,5,287,57.4,1359733936269,1359733936397,155322029,155322157,128
1359733943,155328828,5,287,57.4,1359733936204,1359733936332,155322032,155322160,128
1359733943,155328828,5,287,57.4,1359733936204,1359733936332,155322032,155322160,128
1359733943,155328828,5,287,57.4,1359733936204,1359733936332,155322032,155322160,128
1359733943,155328828,5,287,57.4,1359733936202,1359733936330,155322030,155322158,128
1359733949,155334476,19,21803,1147.526316,1359733923945,1359733943977,155309421,155329453,20032
1359733953,155338428,16,17845,1115.3125,1359733926746,1359733944026,155312174,155329454,17280
1359733961,155346404,26,4860,186.9230769,1359733933043,1359733934899,155318447,155320303,1856
1359733961,155346404,1,60,60,1359733933106,1359733933106,155318510,155318510,0
1359733961,155346500,34,6793,199.7941176,1359733932948,1359733936660,155318448,155322160,3712
1359733961,155346552,6,5567,927.8333333,1359733936480,1359733936544,155322032,155322096,64
1359733965,155350420,1,174,174,1359733938082,1359733938082,155323502,155323502,0
1359733969,155354464,37,11647,314.7837838,1359733940918,1359733968822,155326382,155354286,27904
1359733973,155358440,1,46,46,1359733946191,1359733946191,155331631,155331631,0
1359733977,155362516,2,104,52,1359733951553,1359733955329,155337069,155340845,3776
1359733981,155366464,5,4189,837.8,1359733955381,1359733955637,155340845,155341101,256
1359733981,155366464,5,3964,792.8,1359733955381,1359733955573,155340845,155341037,192
1359733981,155366468,10,10685,1068.5,1359733955380,1359733957620,155340848,155343088,2240
1359733981,155366520,6,6453,1075.5,1359733955325,1359733955517,155340845,155341037,192
1359733981,155366544,7,3935,562.1428571,1359733955301,1359733955685,155340845,155341229,384
1359733985,155370432,5,7051,1410.2,1359733957464,1359733957464,155342896,155342896,0
1359733992,3088656560,1,52,52,1359733965719,1359733965719,3088630279,3088630279,0
1359733992,3088656600,1,52,52,1359733965680,1359733965680,3088630280,3088630280,0
1359733993,155378492,4,266,66.5,1359733968539,1359733968603,155354031,155354095,64
1359733999,155384808,186,250899,1348.919355,1359733880798,1359733995870,155266606,155381678,115072
1359733999,155384848,535,748142,1398.396262,1359733907445,1359733995765,155293293,155381613,88320
1359734021,155406692,1,52,52,1359733995923,1359733995923,155381615,155381615,0
1359734021,155406692,1,52,52,1359733995923,1359733995923,155381615,155381615,0
1359734021,155406692,1,52,52,1359733995923,1359733995923,155381615,155381615,0
1359734021,155406692,1,52,52,1359733995920,1359733995920,155381612,155381612,0
1359734021,155406768,1,52,52,1359733995844,1359733995844,155381612,155381612,0
1359734021,155406772,1,52,52,1359733995844,1359733995844,155381616,155381616,0
1359734021,155406772,1,52,52,1359733995844,1359733995844,155381616,155381616,0
1359734025,155410692,1,46,46,1359734000529,1359734000529,155386221,155386221,0
1359734025,155410720,2,131,65.5,1359733997238,1359733997238,155382958,155382958,0
1359734031,155416860,5,287,57.4,1359734025768,1359734025896,155411628,155411756,128
1359734033,155418792,1,46,46,1359734004909,1359734004909,155390701,155390701,0
1359734039,155424828,6,2110,351.6666667,1359734036872,1359734037064,155422700,155422892,192
1359734039,155424832,7,4827,689.5714286,1359734037125,1359734037381,155422957,155423213,256
1359734039,155424832,6,2309,384.8333333,1359734037380,1359734037572,155423212,155423404,192
1359734039,155424832,6,2441,406.8333333,1359734037252,1359734037444,155423084,155423276,192
1359734039,155424836,6,1953,325.5,1359734037379,1359734037571,155423215,155423407,192
1359734039,155424836,12,11809,984.0833333,1359734037570,1359734037762,155423406,155423598,192
1359734039,155424836,17,18957,1115.117647,1359734037633,1359734037761,155423469,155423597,128
1359734039,155424836,7,3209,458.4285714,1359734037633,1359734037761,155423469,155423597,128
1359734039,155424836,6,2480,413.3333333,1359734037760,1359734037888,155423596,155423724,128
1359734039,155424840,6,2450,408.3333333,1359734037756,1359734037884,155423596,155423724,128
1359734039,155424848,7,5410,772.8571429,1359734034935,1359734035319,155420783,155421167,384
1359734039,155424872,49,65691,1340.632653,1359734035615,1359734035743,155421487,155421615,128
1359734039,155424872,6,1823,303.8333333,1359734035807,1359734036063,155421679,155421935,256
1359734039,155424872,5,1026,205.2,1359734035487,1359734035615,155421359,155421487,128
1359734039,155424872,6,2137,356.1666667,1359734035998,1359734036190,155421870,155422062,192
1359734039,155424872,5,668,133.6,1359734035614,1359734035870,155421486,155421742,256
1359734039,155424872,6,2942,490.3333333,1359734035614,1359734035870,155421486,155421742,256
1359734039,155424872,6,3056,509.3333333,1359734036060,1359734036316,155421932,155422188,256
1359734039,155424872,6,2321,386.8333333,1359734036188,1359734036444,155422060,155422316,256
1359734039,155424872,6,2349,391.5,1359734036636,1359734036828,155422508,155422700,192
1359734039,155424872,6,2799,466.5,1359734036444,1359734036636,155422316,155422508,192
1359734039,155424872,6,2354,392.3333333,1359734036636,1359734036828,155422508,155422700,192
1359734039,155424872,6,1903,317.1666667,1359734036700,1359734036828,155422572,155422700,128
1359734039,155424876,6,2463,410.5,1359734036823,1359734037015,155422699,155422891,192
1359734039,155424876,6,2398,399.6666667,1359734036891,1359734037083,155422767,155422959,192
1359734039,155424876,6,2312,385.3333333,1359734036890,1359734037082,155422766,155422958,192
1359734039,155424876,6,2663,443.8333333,1359734036954,1359734037082,155422830,155422958,128
1359734039,155424876,5,1037,207.4,1359734037018,1359734037210,155422894,155423086,192
