PRE-PROCESS RESULT FOR preprocessLog\amsh7c_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,12.6897,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,1.96847,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,1.29488,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,3.92668,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,3.02617,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,1.50855,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,2.07414,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,1.42471,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,2.20938,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,1.42474,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,2.07851,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,27.5578,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,4.40865,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,4.89063,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,2.05942,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,16.7692,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,6.77556,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,25.337,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,13.286,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,9.97148,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0.221591,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,47.8371,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,26.9782,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,6.75112,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,2.35535,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0.0846241,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,46.9375,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,11.6686,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,15.6182,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,30.0964,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,17.8664,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,16.0662,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0.223041,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,7.59035,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,8.57502,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,2.8776,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,4.66052,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,8.16106,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,8.56355,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,10.9671,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,9.23141,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,5.08758,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,4.26842,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,3.26253,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,2.52044,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,2.76855,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0.0101496,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,1.11848,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,4.64063,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,3.72794,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,0.00910978,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,0,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,0,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,0,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,0,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,0,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,0,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,0,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,0,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
