PRE-PROCESS RESULT FOR preprocessLog\dlokv6_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0.108951,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0.00594008,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,2.94874,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.883913,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0.029371,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.257284,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0.465461,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.256805,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0.0233778,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,14.2782,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,1.56228,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,1.43157,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,5.69483,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,1.96555,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,0.633646,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,10.1596,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,1.78418,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,1.85706,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,3.74816,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,2.31329,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,0.0282366,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,20.4656,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,23.808,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,13.1926,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,22.7261,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,29.898,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,12.3442,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,24.3885,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,48.0193,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,15.0134,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,23.3269,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,22.3,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,3.36302,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,1.49951,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,1.26478,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,1.17929,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,1.32111,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,1.34896,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,1.38581,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,7.50605,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,2.23278,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,3.48486,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,16.8671,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,1.37336,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,1.2334,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,11.9461,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,4.73634,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,2.49726,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,1.1262,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,3.36374,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,2.85033,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,6.20813,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,6.4276,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,8.93241,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,2.71305,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,4.23129,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,0,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,5.36889,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0.0533424,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,3.18151,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,2.90759,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,1.08457,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,4.18215,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,7.41957,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0,
