PRE-PROCESS RESULT FOR preprocessLog\hemmb2_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,1.64075,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,1.04141,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,1.68212,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,1.31525,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,1.05232,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,1.03544,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0.943813,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0.992481,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,1.06529,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,2.25837,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0.863266,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,1.45551,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0.21875,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0.913443,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,1.7275,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,1.46159,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,1.10073,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0.844566,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,1.28832,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0.672675,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,31.1335,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0.39536,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0.676103,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,2.42147,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0.0385638,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0.441627,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,9.51209,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,1.04054,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0.396577,
