PRE-PROCESS RESULT FOR preprocessLog\jhgn9c_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0.969082,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0.0529514,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0.0401195,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0.0398936,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0.0196556,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0.0151849,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0.011489,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0.0448065,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0.0529514,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0.0431972,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,44.3028,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,2.52484,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,71.8303,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,226.009,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,110.792,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0.259653,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.0286954,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0.0742438,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.0160432,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,16.9145,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,5.85116,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,13.9903,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,6.74097,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,6.36939,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,4.6231,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,8.09822,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,15.3764,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,26.3488,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,0.387401,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0.0671585,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0.206098,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,51.4752,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,0.443487,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,14.0546,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,13.6916,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,13.1527,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,1.27407,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,3.64621,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,1.02601,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0.0761336,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,0.187434,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0.0338289,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,18.037,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,11.2227,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,6.80153,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,7.47891,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,5.29899,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,27.6998,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,6.86527,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,8.74764,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,20.3843,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,8.13136,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,49.9756,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,14.4298,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,19.3834,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,11.5503,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,32.7521,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0.0112572,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0.165579,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,15.8587,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,24.3528,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,32.9383,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,14.7758,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,27.0387,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,44.0664,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,51.0513,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,54.16,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,29.5945,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,3.2822,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,1.33206,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,1.0654,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,1.59581,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,1.19437,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,1.4246,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,6.24344,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,9.57265,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,2.71958,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,19.135,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,13.6916,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,21.9148,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0.140814,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0.0543185,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0.0184295,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
