PRE-PROCESS RESULT FOR preprocessLog\jkn7fc_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,29.4195,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0.057544,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.0475103,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0.087177,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.0352251,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0.0169041,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.125,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0.0114087,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0.0446597,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,5.55446,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,1.99822,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,2.34498,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,0.0671227,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,0,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,11.776,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,1.32298,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,0.0586602,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,0.032371,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,14.1881,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,14.2116,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,1.42893,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,2.07229,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,1.47649,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,8.86843,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,1.55095,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,0.05195,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0.595026,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0.150893,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,1.65179,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,3.34092,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,3.67975,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,0.0396569,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,0,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,0,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,0,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,0,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,0,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,2.86254,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0.0952297,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0.0862699,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0.0435494,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,0,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,1.25702,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,1.11668,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,1.4984,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,5.38683,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,3.76948,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,2.47291,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0.777413,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0.0821975,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,4.93731,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,24.5114,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,9.41632,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,12.4443,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0.08029,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0.0413534,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0.0890903,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0.763331,
Mon Feb  4 08:25:00 2013,Mon Feb  4 08:30:00 2013,0,
