PRE-PROCESS RESULT FOR preprocessLog\kab5zb_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0.0898931,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0.0488782,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0.010195,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0.0158451,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0.0560662,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0.0515203,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,1.71843,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,11.3438,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,18.1436,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,83.4289,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,182.005,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,1.07813,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,3.92668,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,2.21943,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,26.5909,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,12.7857,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,46.7295,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,19.8995,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,18.8856,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,0.187154,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,0,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,0,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,0,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,0,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,0,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,22.8131,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,5.38714,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,1.86916,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,0.438694,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,0.0392912,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,0.139893,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,74.3125,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,3.6749,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,26.7068,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,45.9524,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,22.454,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,21.5715,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,47.9938,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,32.4188,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,26.3935,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,18.1391,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,26.8417,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,38.3487,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,36.2555,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,24.726,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,7.37943,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,15.2487,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,13.774,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0.472188,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,13.2969,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0.0284996,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,0,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0.0616071,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,0.0533217,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
