PRE-PROCESS RESULT FOR preprocessLog\krh5f5_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0.0595703,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,7.96013,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,13.6406,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,1.19425,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,33.5677,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,6.03806,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,5.88281,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,1.07843,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0.852301,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0.43171,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0.322722,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,23.4997,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0.0315921,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,3.77368,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0.122729,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0.0655708,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0.136854,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,8.72559,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,2.375,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,7.37853,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0.0595703,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.0501645,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,2.375,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0.0161871,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,2.38341,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,141.179,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.0161309,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,14.7238,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,88.3886,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,0.0345849,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,0,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,2.375,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,3.15084,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,0,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,28.8464,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,74.5475,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,0.460902,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,3.40313,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,1.36551,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,0.0162076,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,4.25391,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,0,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,0,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,3.5625,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,0,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,4.36875,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,14.7779,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,49.2892,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,2.01887,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,0,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,0,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,0,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0.0690789,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0.0640339,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,3.17576,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,24.1395,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,0.0566732,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0.0600618,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0.0561896,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0.0605517,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0.257855,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,1.25958,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0.0553878,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0.0568098,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0.254479,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0.0543145,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0.0585141,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0.0603434,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0.0530242,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0,
