PRE-PROCESS RESULT FOR preprocessLog\lpnb79_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,5.88281,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,1.24542,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,1.84871,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,8.37271,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,5.52584,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,3.68919,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,5.3856,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,4.03311,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,5.68945,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,3.81863,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,4.23568,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,3.5625,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,12.6866,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,4.64308,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,64.4281,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,104.624,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,5.48296,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,40.0956,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,4.96571,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,28.9812,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,1.69923,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,4.12891,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,4.15391,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,21.3739,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,3.48438,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,1.08209,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,5.0624,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,2.14643,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,1.57763,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,28.2673,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,3.60212,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,1.0769,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,4.12278,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,4.75521,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,2.90625,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,49.2148,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,14.7326,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,1.22279,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,7.125,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,2.44747,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,2.09752,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,26.571,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,1.94107,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,1.00024,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,2.15625,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,24.0511,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,58.3695,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,39.7336,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,59.4744,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,16.5214,
