PRE-PROCESS RESULT FOR preprocessLog\mmg9n6_277Sec_Week1.csv
Window Time Frame: 277 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:04:37 2013,1.74219,
Mon Feb  4 08:04:37 2013,Mon Feb  4 08:09:14 2013,3.30916,
Mon Feb  4 08:09:14 2013,Mon Feb  4 08:13:51 2013,7.94833,
Mon Feb  4 08:13:51 2013,Mon Feb  4 08:18:28 2013,3.27976,
Mon Feb  4 08:18:28 2013,Mon Feb  4 08:23:05 2013,4.31596,
Mon Feb  4 08:23:05 2013,Mon Feb  4 08:27:42 2013,4.54971,
Mon Feb  4 08:27:42 2013,Mon Feb  4 08:32:19 2013,3.5996,
Mon Feb  4 08:32:19 2013,Mon Feb  4 08:36:56 2013,3.35807,
Mon Feb  4 08:36:56 2013,Mon Feb  4 08:41:33 2013,2.58591,
Mon Feb  4 08:41:33 2013,Mon Feb  4 08:46:10 2013,3.45172,
Mon Feb  4 08:46:10 2013,Mon Feb  4 08:50:47 2013,1.25071,
Mon Feb  4 08:50:47 2013,Mon Feb  4 08:55:24 2013,2.51311,
Mon Feb  4 08:55:24 2013,Mon Feb  4 09:00:01 2013,3.42231,
Mon Feb  4 09:00:01 2013,Mon Feb  4 09:04:38 2013,0.539063,
Mon Feb  4 09:04:38 2013,Mon Feb  4 09:09:15 2013,3.5139,
Mon Feb  4 09:09:15 2013,Mon Feb  4 09:13:52 2013,5.38285,
Mon Feb  4 09:13:52 2013,Mon Feb  4 09:18:29 2013,1.57238,
Mon Feb  4 09:18:29 2013,Mon Feb  4 09:23:06 2013,3.69132,
Mon Feb  4 09:23:06 2013,Mon Feb  4 09:27:43 2013,30.1346,
Mon Feb  4 09:27:43 2013,Mon Feb  4 09:32:20 2013,18.6717,
Mon Feb  4 09:32:20 2013,Mon Feb  4 09:36:57 2013,11.3314,
Mon Feb  4 09:36:57 2013,Mon Feb  4 09:41:34 2013,0.209484,
Mon Feb  4 09:41:34 2013,Mon Feb  4 09:46:11 2013,0.135417,
Mon Feb  4 09:46:11 2013,Mon Feb  4 09:50:48 2013,22.0743,
Mon Feb  4 09:50:48 2013,Mon Feb  4 09:55:25 2013,39.5501,
Mon Feb  4 09:55:25 2013,Mon Feb  4 10:00:02 2013,10.6905,
Mon Feb  4 10:00:02 2013,Mon Feb  4 10:04:39 2013,2.07547,
Mon Feb  4 10:04:39 2013,Mon Feb  4 10:09:16 2013,1.94495,
Mon Feb  4 10:09:16 2013,Mon Feb  4 10:13:53 2013,4.78768,
Mon Feb  4 10:13:53 2013,Mon Feb  4 10:18:30 2013,2.96169,
Mon Feb  4 10:18:30 2013,Mon Feb  4 10:23:07 2013,12.1146,
Mon Feb  4 10:23:07 2013,Mon Feb  4 10:27:44 2013,5.84465,
Mon Feb  4 10:27:44 2013,Mon Feb  4 10:32:21 2013,3.06417,
Mon Feb  4 10:32:21 2013,Mon Feb  4 10:36:58 2013,1.15787,
Mon Feb  4 10:36:58 2013,Mon Feb  4 10:41:35 2013,3.50781,
Mon Feb  4 10:41:35 2013,Mon Feb  4 10:46:12 2013,2.79579,
Mon Feb  4 10:46:12 2013,Mon Feb  4 10:50:49 2013,2.41049,
Mon Feb  4 10:50:49 2013,Mon Feb  4 10:55:26 2013,17.2211,
Mon Feb  4 10:55:26 2013,Mon Feb  4 11:00:03 2013,19.7095,
Mon Feb  4 11:00:03 2013,Mon Feb  4 11:04:40 2013,0.114169,
Mon Feb  4 11:04:40 2013,Mon Feb  4 11:09:17 2013,13.7383,
Mon Feb  4 11:09:17 2013,Mon Feb  4 11:13:54 2013,1.625,
Mon Feb  4 11:13:54 2013,Mon Feb  4 11:18:31 2013,2.04585,
Mon Feb  4 11:18:31 2013,Mon Feb  4 11:23:08 2013,2.58865,
Mon Feb  4 11:23:08 2013,Mon Feb  4 11:27:45 2013,3.24453,
Mon Feb  4 11:27:45 2013,Mon Feb  4 11:32:22 2013,6.81138,
