PRE-PROCESS RESULT FOR preprocessLog\mmg9n6_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,1.98242,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,4.84635,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,3.87207,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,3.14063,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,7.74554,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,4.22762,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,6.02431,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,3.82747,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,5.46656,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,7.11617,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,8.02682,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,3.09093,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,1.55022,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,63.8486,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,3.51804,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,48.3657,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,39.0594,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,9.24291,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,35.4214,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,3.09744,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,45.5938,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,5.66244,
