PRE-PROCESS RESULT FOR preprocessLog\nhm2p3_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0.0473901,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0.0790339,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0.0159574,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0.0325431,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,5.49632,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.00555556,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,4.50674,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,3.14824,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,2.2892,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,4.88119,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,3.75625,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0.914505,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,4.74789,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,4.82444,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,2.73369,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,2.46379,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,5.73942,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,8.34566,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,4.99714,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,4.65896,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,5.96024,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,4.72107,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,3.75643,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,5.94802,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,3.2175,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,4.4091,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,7.60373,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,0,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,1.76109,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,2.76898,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,3.20257,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,2.32865,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,3.52943,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,3.04797,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,1.38133,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,2.0323,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,2.37266,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,1.86034,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,7.11492,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,3.83593,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,1.68348,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,3.17093,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,2.27414,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,0,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,0,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0,
Mon Feb  4 08:25:00 2013,Mon Feb  4 08:30:00 2013,0,
Mon Feb  4 08:30:00 2013,Mon Feb  4 08:35:00 2013,0,
