PRE-PROCESS RESULT FOR preprocessLog\rrg3md_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,22.0545,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,46.2364,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0.0529514,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,4.88743,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,2.57165,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,3.81683,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,3.59346,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,6.00354,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,2.1198,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,1.1352,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,10.1769,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,17.3276,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0.0284693,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,0,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,6.33402,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,3.62402,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,3.5625,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,1.01786,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,0,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,0,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,0.011236,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,9.89548,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,0.0441449,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0.341715,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,0,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,1.83007,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,0.597457,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,47.0978,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,36.3651,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,67.5264,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,22.1488,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,48.5077,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,15.6072,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,0.091733,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,0,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,0,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,50.9484,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,3.96848,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,10.6059,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,13.3084,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,2.70325,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,2.19043,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,4.24182,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,3.29479,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,3.40313,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,2.79179,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,1.63364,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0.138105,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,11.2019,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,6.20008,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,5.02247,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,5.18942,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,9.8472,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,12.5766,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,9.3792,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,5.88942,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,9.22838,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,8.38891,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,8.85808,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0.0763038,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0.0637778,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0.0300484,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,2.40749,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0.0195035,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0.0689655,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0.0305851,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0.220739,
