PRE-PROCESS RESULT FOR preprocessLog\sbpc42_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,4.08295,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,4.79763,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,1.40374,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0.0533217,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,4.45227,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,3.82087,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,4.03876,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,3.76976,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,3.5741,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,4.28977,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,3.66602,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,4.74105,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,6.63501,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,6.5933,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,6.78659,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,2.6568,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,4.87793,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,4.16224,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,2.65425,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,3.22159,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,2.31632,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,3.47678,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,7.2727,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,16.517,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0.188625,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,2.62352,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,3.29231,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,6.97471,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.0577652,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,2.25874,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,4.37109,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,4.69916,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,11.1682,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,4.50124,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.919779,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,10.5576,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.0239932,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0.010128,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.209877,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,22.0344,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,4.50201,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,12.3314,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,2.86441,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,1.94761,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,0.814009,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,3.46034,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,2.95497,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,3.48231,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,2.68411,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,2.9999,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,2.90423,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,2.55946,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,4.36786,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,5.39264,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,4.37456,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,2.38266,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,5.32363,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,2.20693,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,2.9306,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,2.8623,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,2.39062,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,4.37435,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,4.93162,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,1.28512,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,6.16626,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,1.57601,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0.0941366,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,4.1082,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,2.73895,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0.221591,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,0.350852,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,0,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,2.08949,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,3.98858,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,2.56918,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,1.57198,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,4.28553,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,8.87665,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,4.59208,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,55.0433,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,1.44174,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0.135417,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,6.4393,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,2.19785,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,3.98674,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,3.04828,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,8.36311,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,2.4001,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,7.01161,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,2.17853,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,1.56902,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,2.02713,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,2.70591,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,2.60625,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,5.7846,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,5.74315,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,11.2524,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,2.69627,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,2.09774,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,2.25701,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,1.63836,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,2.50293,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,4.03957,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,1.50524,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,1.2244,
Mon Feb  4 08:25:00 2013,Mon Feb  4 08:30:00 2013,6.0474,
Mon Feb  4 08:30:00 2013,Mon Feb  4 08:35:00 2013,1.42165,
Mon Feb  4 08:35:00 2013,Mon Feb  4 08:40:00 2013,0.746528,
Mon Feb  4 08:40:00 2013,Mon Feb  4 08:45:00 2013,4.30871,
Mon Feb  4 08:45:00 2013,Mon Feb  4 08:50:00 2013,1.64739,
Mon Feb  4 08:50:00 2013,Mon Feb  4 08:55:00 2013,3.23996,
Mon Feb  4 08:55:00 2013,Mon Feb  4 09:00:00 2013,1.7672,
Mon Feb  4 09:00:00 2013,Mon Feb  4 09:05:00 2013,3.08941,
Mon Feb  4 09:05:00 2013,Mon Feb  4 09:10:00 2013,1.75954,
Mon Feb  4 09:10:00 2013,Mon Feb  4 09:15:00 2013,2.35158,
Mon Feb  4 09:15:00 2013,Mon Feb  4 09:20:00 2013,3.87259,
Mon Feb  4 09:20:00 2013,Mon Feb  4 09:25:00 2013,2.3164,
Mon Feb  4 09:25:00 2013,Mon Feb  4 09:30:00 2013,25.0621,
Mon Feb  4 09:30:00 2013,Mon Feb  4 09:35:00 2013,1.51206,
Mon Feb  4 09:35:00 2013,Mon Feb  4 09:40:00 2013,1.77665,
Mon Feb  4 09:40:00 2013,Mon Feb  4 09:45:00 2013,2.75191,
