PRE-PROCESS RESULT FOR preprocessLog\smdvw5_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0.0515203,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0.0114553,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0.0142747,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0.0185662,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0.503194,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0.683854,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0.370425,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,7.79733,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.806467,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0.407519,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0.851019,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,18.4547,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,1.35461,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0.496926,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0.0720714,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0.645739,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0.0682857,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.0243401,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0.065098,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0.0925129,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0.06971,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.0735001,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0.0699812,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0.0491122,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0.357496,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,12.142,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,2.64502,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,0.739515,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,1.00196,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,0.836603,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,1.47065,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,9.68944,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,1.35708,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,0.649046,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,0.522857,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0.55827,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0.47258,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,3.93285,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,0.886568,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,0.428032,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,0.390549,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,0.304719,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0.454121,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0.40322,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0.492773,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0.975859,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,2.82909,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,2.73647,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,0.728793,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,1.46816,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0.116403,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,0.989464,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,1.01962,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0.73164,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,2.54614,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,1.21391,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0.718648,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0.319469,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0.27323,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0.441324,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0.535896,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0.462277,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0.247037,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0.0641852,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0.618652,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,2.34332,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0.859427,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0.218356,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0.132977,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0.115138,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0.0702723,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,1.94492,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0.794773,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,1.16897,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0.355418,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,0.457273,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0.577101,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0.69668,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,1.09512,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,2.35003,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0.574349,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
