PRE-PROCESS RESULT FOR preprocessLog\tjdpzd_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0.0529514,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,29.8199,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,2.375,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,1.81458,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,75.3225,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0.0595703,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,72.2051,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,4.05503,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,21.6796,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,17.2961,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.0501645,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,4.54878,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,2.19577,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0.383125,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,0,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,278.249,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,3.20313,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,233.646,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,15.4757,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,10.052,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,0,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,0,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,0,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,0,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,23.9494,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,4.34581,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,1.81641,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,0.0319149,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,0,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,0,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,41.1823,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,0.449878,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,56.8924,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,3.67072,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,1.42813,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,0,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0.655948,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,0,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,0,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,0,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,0,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,0,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,0,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,0,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,0,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,0,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,0,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,0,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,0,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,22.5868,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,22.82,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,88.7531,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,3.77392,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0.832482,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,19.6378,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,17.2461,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,10.7984,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0.04875,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,4.96038,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,5.8188,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0.0167929,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,17.7451,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0.0758453,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0.798543,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,1.425,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,19.203,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0,
Mon Feb  4 08:25:00 2013,Mon Feb  4 08:30:00 2013,0,
Mon Feb  4 08:30:00 2013,Mon Feb  4 08:35:00 2013,0,
