PRE-PROCESS RESULT FOR preprocessLog\wahbf_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,7.03421,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,1.72338,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0.558632,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,2.79267,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,31.8775,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,9.01809,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,12.7897,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,12.7189,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,4.95671,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0.0617622,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,1.9401,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,3.99561,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,1.59649,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,1.72641,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,2.625,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,11.842,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.0577652,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,4.52072,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,2.1143,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,31.5574,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,7.64986,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,20.4399,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,1.95775,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,2.56586,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,2.31589,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0.255952,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,2.63821,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,183.683,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,12.8467,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,13.0927,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,3.22636,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,2.87559,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,9.67676,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,2.02111,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,48.4669,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,0.446229,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,3.17916,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,0,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,2.77902,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,4.89063,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,6.98197,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,0.235374,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,3.37627,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,5.57344,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,17.3677,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,0,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,16.8629,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,0.0101064,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,0,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,0,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,4.89063,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,0.135417,
