PRE-PROCESS RESULT FOR preprocessLog\wgocnc_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,0,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,0,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,0.0560662,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,0,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,0,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,0,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,35.5174,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,47.5719,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,2.58852,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0.509582,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,4.30031,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,1.16941,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,2.0682,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.292297,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0.0717541,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,0.0200893,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,0.0290092,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,234.159,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,15.7647,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,9.45987,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,7.21316,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,6.53675,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,0,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,2.34749,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,22.554,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,23.6217,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,4.60817,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,0.073205,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,14.0684,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,0.705238,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,11.8467,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,31.6421,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,6.12493,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,15.8642,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,45.6601,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,77.2046,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,107.15,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,109.468,
Mon Feb 11 13:40:00 2013,Mon Feb 11 13:45:00 2013,88.5337,
Mon Feb 11 13:45:00 2013,Mon Feb 11 13:50:00 2013,212.499,
Mon Feb 11 13:50:00 2013,Mon Feb 11 13:55:00 2013,11.4937,
Mon Feb 11 13:55:00 2013,Mon Feb 11 14:00:00 2013,2.88021,
Mon Feb 11 14:00:00 2013,Mon Feb 11 14:05:00 2013,36.6166,
Mon Feb 11 14:05:00 2013,Mon Feb 11 14:10:00 2013,4.20996,
Mon Feb 11 14:10:00 2013,Mon Feb 11 14:15:00 2013,1.26643,
Mon Feb 11 14:15:00 2013,Mon Feb 11 14:20:00 2013,4.57579,
Mon Feb 11 14:20:00 2013,Mon Feb 11 14:25:00 2013,0.0558129,
Mon Feb 11 14:25:00 2013,Mon Feb 11 14:30:00 2013,3.33376,
Mon Feb 11 14:30:00 2013,Mon Feb 11 14:35:00 2013,0.0393572,
Mon Feb 11 14:35:00 2013,Mon Feb 11 14:40:00 2013,0.0797332,
Mon Feb 11 14:40:00 2013,Mon Feb 11 14:45:00 2013,24.086,
Mon Feb 11 14:45:00 2013,Mon Feb 11 14:50:00 2013,0.0474449,
Mon Feb 11 14:50:00 2013,Mon Feb 11 14:55:00 2013,1.90519,
Mon Feb 11 14:55:00 2013,Mon Feb 11 15:00:00 2013,0.0796441,
Mon Feb 11 15:00:00 2013,Mon Feb 11 15:05:00 2013,0,
Mon Feb 11 15:05:00 2013,Mon Feb 11 15:10:00 2013,0,
Mon Feb 11 15:10:00 2013,Mon Feb 11 15:15:00 2013,0.0210282,
Mon Feb 11 15:15:00 2013,Mon Feb 11 15:20:00 2013,0,
Mon Feb 11 15:20:00 2013,Mon Feb 11 15:25:00 2013,0.0418339,
Mon Feb 11 15:25:00 2013,Mon Feb 11 15:30:00 2013,0,
Mon Feb 11 15:30:00 2013,Mon Feb 11 15:35:00 2013,0,
Mon Feb 11 15:35:00 2013,Mon Feb 11 15:40:00 2013,0,
Mon Feb 11 15:40:00 2013,Mon Feb 11 15:45:00 2013,0,
Mon Feb 11 15:45:00 2013,Mon Feb 11 15:50:00 2013,0.0560662,
Mon Feb 11 15:50:00 2013,Mon Feb 11 15:55:00 2013,0,
Mon Feb 11 15:55:00 2013,Mon Feb 11 16:00:00 2013,0.0200893,
Mon Feb 11 16:00:00 2013,Mon Feb 11 16:05:00 2013,0,
Mon Feb 11 16:05:00 2013,Mon Feb 11 16:10:00 2013,0.0199468,
Mon Feb 11 16:10:00 2013,Mon Feb 11 16:15:00 2013,0,
Mon Feb 11 16:15:00 2013,Mon Feb 11 16:20:00 2013,0,
Mon Feb 11 16:20:00 2013,Mon Feb 11 16:25:00 2013,0,
Mon Feb 11 16:25:00 2013,Mon Feb 11 16:30:00 2013,0,
Mon Feb 11 16:30:00 2013,Mon Feb 11 16:35:00 2013,0,
Mon Feb 11 16:35:00 2013,Mon Feb 11 16:40:00 2013,0,
Mon Feb 11 16:40:00 2013,Mon Feb 11 16:45:00 2013,0,
Mon Feb 11 16:45:00 2013,Mon Feb 11 16:50:00 2013,0,
Mon Feb 11 16:50:00 2013,Mon Feb 11 16:55:00 2013,0,
Mon Feb 11 16:55:00 2013,Mon Feb 11 17:00:00 2013,0,
Mon Feb  4 08:00:00 2013,Mon Feb  4 08:05:00 2013,0,
Mon Feb  4 08:05:00 2013,Mon Feb  4 08:10:00 2013,0,
Mon Feb  4 08:10:00 2013,Mon Feb  4 08:15:00 2013,0,
Mon Feb  4 08:15:00 2013,Mon Feb  4 08:20:00 2013,0,
Mon Feb  4 08:20:00 2013,Mon Feb  4 08:25:00 2013,0,
Mon Feb  4 08:25:00 2013,Mon Feb  4 08:30:00 2013,0,
