PRE-PROCESS RESULT FOR preprocessLog\zws2p8_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Mon Feb 11 08:00:00 2013,Mon Feb 11 08:05:00 2013,0,
Mon Feb 11 08:05:00 2013,Mon Feb 11 08:10:00 2013,0.0668218,
Mon Feb 11 08:10:00 2013,Mon Feb 11 08:15:00 2013,0,
Mon Feb 11 08:15:00 2013,Mon Feb 11 08:20:00 2013,0.0668218,
Mon Feb 11 08:20:00 2013,Mon Feb 11 08:25:00 2013,0.0501645,
Mon Feb 11 08:25:00 2013,Mon Feb 11 08:30:00 2013,0.0797872,
Mon Feb 11 08:30:00 2013,Mon Feb 11 08:35:00 2013,0,
Mon Feb 11 08:35:00 2013,Mon Feb 11 08:40:00 2013,0.0797872,
Mon Feb 11 08:40:00 2013,Mon Feb 11 08:45:00 2013,0,
Mon Feb 11 08:45:00 2013,Mon Feb 11 08:50:00 2013,0,
Mon Feb 11 08:50:00 2013,Mon Feb 11 08:55:00 2013,0.0778934,
Mon Feb 11 08:55:00 2013,Mon Feb 11 09:00:00 2013,0,
Mon Feb 11 09:00:00 2013,Mon Feb 11 09:05:00 2013,0.0797872,
Mon Feb 11 09:05:00 2013,Mon Feb 11 09:10:00 2013,0,
Mon Feb 11 09:10:00 2013,Mon Feb 11 09:15:00 2013,0.0797872,
Mon Feb 11 09:15:00 2013,Mon Feb 11 09:20:00 2013,0,
Mon Feb 11 09:20:00 2013,Mon Feb 11 09:25:00 2013,0.0806452,
Mon Feb 11 09:25:00 2013,Mon Feb 11 09:30:00 2013,0,
Mon Feb 11 09:30:00 2013,Mon Feb 11 09:35:00 2013,0.0668218,
Mon Feb 11 09:35:00 2013,Mon Feb 11 09:40:00 2013,0,
Mon Feb 11 09:40:00 2013,Mon Feb 11 09:45:00 2013,0.0661184,
Mon Feb 11 09:45:00 2013,Mon Feb 11 09:50:00 2013,0,
Mon Feb 11 09:50:00 2013,Mon Feb 11 09:55:00 2013,0.0668218,
Mon Feb 11 09:55:00 2013,Mon Feb 11 10:00:00 2013,0,
Mon Feb 11 10:00:00 2013,Mon Feb 11 10:05:00 2013,0.0668218,
Mon Feb 11 10:05:00 2013,Mon Feb 11 10:10:00 2013,0.0114329,
Mon Feb 11 10:10:00 2013,Mon Feb 11 10:15:00 2013,5.77792,
Mon Feb 11 10:15:00 2013,Mon Feb 11 10:20:00 2013,27.7333,
Mon Feb 11 10:20:00 2013,Mon Feb 11 10:25:00 2013,46.84,
Mon Feb 11 10:25:00 2013,Mon Feb 11 10:30:00 2013,30.2587,
Mon Feb 11 10:30:00 2013,Mon Feb 11 10:35:00 2013,86.0808,
Mon Feb 11 10:35:00 2013,Mon Feb 11 10:40:00 2013,32.7387,
Mon Feb 11 10:40:00 2013,Mon Feb 11 10:45:00 2013,26.3103,
Mon Feb 11 10:45:00 2013,Mon Feb 11 10:50:00 2013,0,
Mon Feb 11 10:50:00 2013,Mon Feb 11 10:55:00 2013,0.0806452,
Mon Feb 11 10:55:00 2013,Mon Feb 11 11:00:00 2013,0,
Mon Feb 11 11:00:00 2013,Mon Feb 11 11:05:00 2013,0.0797872,
Mon Feb 11 11:05:00 2013,Mon Feb 11 11:10:00 2013,0,
Mon Feb 11 11:10:00 2013,Mon Feb 11 11:15:00 2013,0.0797872,
Mon Feb 11 11:15:00 2013,Mon Feb 11 11:20:00 2013,0,
Mon Feb 11 11:20:00 2013,Mon Feb 11 11:25:00 2013,0.0797872,
Mon Feb 11 11:25:00 2013,Mon Feb 11 11:30:00 2013,0.0400152,
Mon Feb 11 11:30:00 2013,Mon Feb 11 11:35:00 2013,0.0797872,
Mon Feb 11 11:35:00 2013,Mon Feb 11 11:40:00 2013,0,
Mon Feb 11 11:40:00 2013,Mon Feb 11 11:45:00 2013,0.0797872,
Mon Feb 11 11:45:00 2013,Mon Feb 11 11:50:00 2013,35.5358,
Mon Feb 11 11:50:00 2013,Mon Feb 11 11:55:00 2013,27.1088,
Mon Feb 11 11:55:00 2013,Mon Feb 11 12:00:00 2013,30.7846,
Mon Feb 11 12:00:00 2013,Mon Feb 11 12:05:00 2013,43.8012,
Mon Feb 11 12:05:00 2013,Mon Feb 11 12:10:00 2013,20.4057,
Mon Feb 11 12:10:00 2013,Mon Feb 11 12:15:00 2013,36.7814,
Mon Feb 11 12:15:00 2013,Mon Feb 11 12:20:00 2013,15.4777,
Mon Feb 11 12:20:00 2013,Mon Feb 11 12:25:00 2013,39.9831,
Mon Feb 11 12:25:00 2013,Mon Feb 11 12:30:00 2013,17.6188,
Mon Feb 11 12:30:00 2013,Mon Feb 11 12:35:00 2013,43.7997,
Mon Feb 11 12:35:00 2013,Mon Feb 11 12:40:00 2013,20.3085,
Mon Feb 11 12:40:00 2013,Mon Feb 11 12:45:00 2013,23.3878,
Mon Feb 11 12:45:00 2013,Mon Feb 11 12:50:00 2013,34.9552,
Mon Feb 11 12:50:00 2013,Mon Feb 11 12:55:00 2013,12.6312,
Mon Feb 11 12:55:00 2013,Mon Feb 11 13:00:00 2013,40.5078,
Mon Feb 11 13:00:00 2013,Mon Feb 11 13:05:00 2013,28.3301,
Mon Feb 11 13:05:00 2013,Mon Feb 11 13:10:00 2013,23.0346,
Mon Feb 11 13:10:00 2013,Mon Feb 11 13:15:00 2013,32.5747,
Mon Feb 11 13:15:00 2013,Mon Feb 11 13:20:00 2013,12.333,
Mon Feb 11 13:20:00 2013,Mon Feb 11 13:25:00 2013,25.1384,
Mon Feb 11 13:25:00 2013,Mon Feb 11 13:30:00 2013,29.9154,
Mon Feb 11 13:30:00 2013,Mon Feb 11 13:35:00 2013,50.5471,
Mon Feb 11 13:35:00 2013,Mon Feb 11 13:40:00 2013,38.0983,
